batch,style,id_idx,render,age_bin,age_mid,detected,buffalo_age,buffalo_gender
refs_v2,chibi,4,id_04_seed26483822.png,20-29,25.0,True,9.0,F
refs_v2,chibi,5,id_05_seed21824895.png,20-29,25.0,True,21.0,F
refs_v2,chibi,5,id_05_seed24521261.png,20-29,25.0,True,21.0,M
refs_v2,chibi,5,id_05_seed29455192.png,20-29,25.0,True,21.0,F
refs_v2,chibi,6,id_06_seed21364845.png,20-29,25.0,False,,
refs_v2,chibi,6,id_06_seed26430914.png,20-29,25.0,True,19.0,F
refs_v2,chibi,6,id_06_seed28429339.png,20-29,25.0,True,19.0,F
refs_v2,chibi,7,id_07_seed26108237.png,20-29,25.0,True,23.0,M
refs_v2,chibi,7,id_07_seed26806178.png,20-29,25.0,False,,
refs_v2,chibi,7,id_07_seed28804603.png,20-29,25.0,True,19.0,F
refs_v2,chibi,8,id_08_seed21262193.png,30-39,35.0,True,21.0,F
refs_v2,chibi,8,id_08_seed23183512.png,30-39,35.0,True,20.0,F
refs_v2,chibi,8,id_08_seed28117443.png,30-39,35.0,False,,
refs_v2,chibi,9,id_09_seed24601079.png,30-39,35.0,True,20.0,F
refs_v2,chibi,9,id_09_seed26599504.png,30-39,35.0,True,21.0,F
refs_v2,chibi,9,id_09_seed29046313.png,30-39,35.0,True,20.0,F
refs_v2,chibi,10,id_10_seed22220637.png,30-39,35.0,True,21.0,F
refs_v2,chibi,10,id_10_seed24667446.png,30-39,35.0,True,20.0,F
refs_v2,chibi,10,id_10_seed26665871.png,30-39,35.0,True,21.0,F
refs_v2,chibi,11,id_11_seed21404198.png,30-39,35.0,True,4.0,M
refs_v2,chibi,11,id_11_seed24100564.png,30-39,35.0,True,16.0,M
refs_v2,chibi,11,id_11_seed26470267.png,30-39,35.0,True,19.0,F
refs_v2,chibi,12,id_12_seed25945305.png,30-39,35.0,True,22.0,F
refs_v2,chibi,12,id_12_seed26643246.png,30-39,35.0,True,21.0,F
refs_v2,chibi,12,id_12_seed29090055.png,30-39,35.0,True,23.0,F
refs_v2,chibi,13,id_13_seed22147587.png,30-39,35.0,False,,
