set,render,id_idx,mp_detected,iod_over_facew,eye_vpos,lower_face_ratio,bs_jawOpen,bs_eyeBlink,bs_mean_abs,arc_detected,arc_anchor_ok,arc_cosine
refs_v3,id_05_seed49388976.png,5,True,0.49967579634747467,0.41763891442453877,0.16534934327125878,0.0016491530695930123,0.002771168074104935,0.11492551338801153,True,True,0.23965266346931458
refs_v3,id_06_seed46405528.png,6,True,0.5380190131405299,0.41187283656758417,0.16141295135444506,0.0017735239816829562,0.00297389249317348,0.10943932764201054,False,False,
refs_v3,id_06_seed47103469.png,6,True,0.5104268116986049,0.38696522403394823,0.15848629386768945,0.001492069917730987,0.0010251706262351945,0.10104902847493619,True,False,
refs_v3,id_06_seed49550278.png,6,True,0.5236107049801578,0.3901541628383477,0.19410610104337925,0.0004129992157686502,0.002523426606785506,0.10862975303777954,True,False,
refs_v3,id_07_seed47443606.png,7,True,0.47144343899972213,0.41939771848666074,0.19493389514455353,0.0011991200735792518,0.004890910116955638,0.08914517654358492,False,True,
refs_v3,id_07_seed49813309.png,7,True,0.48986449067464855,0.4037632103962795,0.1385210281916996,0.002705145860090852,0.0013368941727094352,0.1305240986059294,True,True,-0.017320845276117325
refs_v3,id_07_seed49890415.png,7,True,0.4726569480018968,0.33393985042078195,0.18506139297694474,0.0013711962383240461,0.007696759887039661,0.04314430233563098,True,True,0.3730740249156952
refs_v3,id_08_seed42357173.png,8,True,0.4902068911742203,0.3265154911847911,0.18715482615790136,0.0011192741803824902,0.0018639332265593112,0.09687378781486498,True,True,0.19255290925502777
refs_v3,id_08_seed44803982.png,8,True,0.4987472326462316,0.3530558119157656,0.16942440149324503,0.0006549001554958522,0.004555709660053253,0.09467974215006172,True,True,0.32132822275161743
refs_v3,id_08_seed46802407.png,8,True,0.5347263961779389,0.39222455489914504,0.18214581880513947,0.0003008939092978835,0.005748799769207835,0.11264243429942056,True,True,0.05212794244289398
refs_v3,id_09_seed41627783.png,9,True,0.5028138156561226,0.39836946969761894,0.1864700742799011,0.0010136598721146584,0.002363246458116919,0.11114613361999222,True,True,0.1111554205417633
refs_v3,id_09_seed48931417.png,9,True,0.506148022503696,0.410039806687469,0.1590498057525209,0.0015720759984105825,0.0018917445268016309,0.08416953207107693,True,True,0.04940562695264816
refs_v3,id_09_seed49629358.png,9,True,0.5094112702696196,0.38580306111537466,0.1565543709241714,0.005962069611996412,0.001956552208866924,0.09215311262255838,True,True,0.08208467066287994
refs_v3,id_10_seed40953689.png,10,True,0.48910110356567055,0.39821124226669513,0.13706055543789283,0.003739251522347331,0.003811374946963042,0.10813259093490483,True,True,-0.007926364429295063
refs_v3,id_10_seed43889195.png,10,True,0.4777527200596602,0.40212043165688444,0.19845372740117936,0.0005584979662671685,0.0037673129700124264,0.12254182959018405,True,True,0.05383326858282089
refs_v3,id_10_seed45887620.png,10,True,0.5227189427378068,0.3983704173090491,0.16194116166582545,0.0013766405172646046,0.0009614422015147284,0.08774876027999695,True,True,0.08630926162004471
refs_v3,id_11_seed44010642.png,11,True,0.49599914344177737,0.37599844516349434,0.18701673772225072,0.0009928880026564002,0.0021160862816032022,0.07085527463822945,False,True,
refs_v3,id_11_seed46457451.png,11,True,0.5015585418101156,0.41864758665842994,0.1834896505725953,0.0019940673373639584,0.0030930372304283082,0.08505784351893429,True,True,0.10680130124092102
